total_actions,total_time_ms,avg_time_per_action_ms,paste_count,deletion_count,compilation_count,submission_count,SRN
1057,4769934,4512.709555345317,0,157,14,46,PES2UG24EC029
1359,3919155,2883.852097130243,0,515,34,11,PES2UG24CS101
2824,5194486,1839.407223796034,0,393,88,106,PES2UG24CS670
1766,4304754,2437.573046432616,0,511,40,64,PES2UG24CS655
1690,2839511,1680.1840236686392,0,410,21,14,PES2UG24CS216
1813,17898782,9872.466629895202,0,432,56,9,PES2UG24CS081
2377,4815994,2026.0807740849812,0,913,44,22,PES2UG24EC132
1451,5430902,3742.868366643694,0,362,70,20,PES2UG24CS295
2628,3757373,1429.746194824962,0,477,68,20,PES2UG24CS437
1245,5231713,4202.179116465863,0,378,49,80,PES2UG24CS506
3095,5535052,1788.3851373182551,0,634,112,7,PES2UG24CS545
1509,21510469,14254.78396288933,0,340,32,11,PES2UG24CS539
2143,5332373,2488.274848343444,0,373,134,30,PES2UG24CS058
2328,4566699,1961.6404639175257,0,393,71,15,PES2UG24AM092
2470,20562749,8324.9995951417,0,629,99,48,PES2UG24CS644
1211,5073072,4189.159372419488,0,159,69,69,PES2UG24CS503
3016,17192001,5700.2655835543765,0,954,72,6,PES2UG24CS594
1933,5318181,2751.25763062597,0,487,69,22,PES2UG24CS102
2154,5285649,2453.876044568245,0,646,64,30,PES2UG24CS217
904,2848958,3151.5022123893805,0,205,72,4,PES2UG24CS645
3658,5176219,1415.0407326407874,0,631,133,22,PES2202400065@pesuonline.onmicrosoft.com
1614,5135053,3181.569392812887,0,351,231,33,PES2UG24AM207
1235,5311642,4300.9246963562755,0,422,78,87,PES2UG24CS050
4222,25830115,6117.980814779725,0,1070,98,37,PES2UG24EC096
2697,5368476,1990.5361512791992,0,602,107,55,PES2UG24CS109
1026,4441411,4328.860623781677,0,309,63,1,PES2UG24CS561
2199,5271336,2397.1514324693044,0,614,47,21,PES2UG24CS071
1734,5221142,3011.0392156862745,0,541,93,72,PES2UG24CS029
2473,5062564,2047.1346542660735,0,890,67,30,PES2UG24AM223
4985,5206158,1044.3646940822468,0,1441,124,40,PES2UG24CS590
2408,4948257,2054.924003322259,0,425,73,101,PES2UG24EC052
2264,4627936,2044.1413427561838,0,938,60,9,PES2UG24CS638
1660,5289550,3186.475903614458,0,360,70,50,PES2UG24CS527
1689,5143577,3045.3386619301364,0,406,63,3,PES2UG24AM211
2007,5066311,2524.320378674639,0,584,46,106,PES2UG24CS453
3308,5386292,1628.2623941958886,0,937,128,23,PES2UG24AM161
2264,4822346,2130.01148409894,0,546,73,21,PES2UG24CS465
1808,4172093,2307.573561946903,0,572,49,16,PES2UG24CS007
1711,4552173,2660.5336060783166,0,511,45,30,PES2UG24AM042
2038,5152180,2528.0569185475956,0,460,104,29,PES2UG24CS552
2078,5364708,2581.6689124157842,0,518,47,26,PES2UG24CS131
1109,4635279,4179.692515779982,0,183,21,20,PES2UG24CS459
2220,5368232,2418.1225225225226,0,923,46,36,PES2UG24CS656
2567,3579913,1394.5901830931048,0,678,62,17,PES2UG24EC131
1447,5425145,3749.2363510711816,0,349,47,31,PES2UG24CS602
1724,5251702,3046.2308584686775,0,378,85,50,PES2UG24CS647
2027,5233693,2581.989639861865,0,563,74,29,PES2UG24CS467
2082,5361752,2575.2891450528336,0,502,91,18,PES2UG24AM185
1407,5119148,3638.3425728500356,0,400,46,4,PES2UG24CS679
1506,5039445,3346.2450199203186,0,332,28,6,PES2UG24AM202
1277,4880783,3822.069694596711,0,342,33,36,PES2UG24CS501
2125,4996272,2351.186823529412,0,694,88,53,PES2UG24CS466
2385,5294930,2220.0964360587004,0,773,133,7,PES2UG24CS549
2142,5367081,2505.6400560224088,0,479,56,28,PES2UG24CS327
3169,4598673,1451.143262858946,0,1169,35,8,PES2UG24CS200
2112,4817470,2280.999053030303,0,567,104,10,PES2UG24CS398
2480,5311044,2141.55,0,523,106,68,PES2UG24CS265
2470,5354529,2167.8255060728743,0,504,69,26,PES2UG24CS562
1812,4543246,2507.310154525386,0,332,81,1,PES2UG24CS441
2569,5236731,2038.4316854807319,0,678,53,8,PES2UG24EC094
2246,5104938,2272.902048085485,0,509,101,24,PES2UG24CS630
3028,5369166,1773.1723910171731,0,1113,122,35,PES2UG24CS340
1959,5369010,2740.689127105666,0,491,115,13,PES2UG24AM079
2195,4842789,2206.2820045558087,0,698,63,5,PES2UG24CS555
1623,4718950,2907.5477510782503,0,524,61,62,PES2UG24CS375
1530,5243506,3427.1281045751634,0,273,37,76,PES2UG24CS388
1050,5329361,5075.581904761905,0,325,36,28,PES2UG24CS462
2560,5007721,1956.141015625,0,881,83,6,PES2UG24CS312
1413,3608318,2553.657466383581,0,392,27,17,PES2UG24CS606
2356,5360752,2275.3616298811544,0,639,119,21,PES2UG24CS641
2879,5434099,1887.4953108718305,0,772,146,40,PES2UG24AM080
1171,4473015,3819.824935952178,0,156,37,84,PES2UG24CS431
1821,4705573,2584.059857221307,0,396,81,36,PES2UG24CS664
2834,5485147,1935.4788285109387,0,717,104,33,PES2UG24CS669
928,5210172,5614.4094827586205,0,306,22,17,PES2UG24CS232
1529,4805373,3142.820797907129,0,303,57,5,PES2UG24CS657
3064,5007396,1634.2676240208878,0,798,107,31,PES2UG24CS374
1879,3953934,2104.2756785524216,0,569,48,9,PES2UG24CS478
1811,5381555,2971.593042517946,0,539,81,94,PES2UG24CS091
2922,8460181,2895.339151266256,0,501,103,50,PES2UG24CS421
2081,3940932,1893.7683805862566,0,626,53,8,PES2UG24CS061
2129,4887947,2295.888680131517,0,576,106,36,PES2UG24AM191
501,1108565607,2212705.8023952097,0,3,7,9,PES2UG22CS121
1513,5061353,3345.24322538004,0,296,84,7,PES2UG24CS254
3213,5516625,1716.970121381886,0,1082,65,27,PES2202401091
1448,4283879,2958.4799723756905,0,213,58,48,PES2202402326
4652,5565253,1196.3140584694754,0,1616,94,11,PES2UG24AM066
754,4173044,5534.541114058356,0,97,18,32,PES2UG24CS297
2725,5069893,1860.5111926605505,0,988,55,56,PES2UG24AM053
1635,5386559,3294.531498470948,0,620,59,131,PES2UG24CS151
204,678591,3326.426470588235,0,47,4,1,PES2UG24CS100
2623,5353099,2040.8307281738466,0,708,85,23,PES2UG24CS242
1962,5045040,2571.376146788991,0,323,107,35,PES2UG24AM115
2384,5301701,2223.8678691275168,0,596,76,30,PES2UG24CS090
2810,5464584,1944.6918149466192,0,593,87,6,PES2UG24CS027
1811,4612016,2546.668139149641,0,419,67,18,PES2UG24CS461
1808,4978457,2753.571349557522,0,508,41,23,PES2UG24CS486
2629,5218635,1985.0266260935716,0,871,36,54,PES2UG24CS302
2064,5161489,2500.7214147286822,0,703,88,66,PES2UG24CS651
2258,4325992,1915.85119574845,0,750,83,3,PES2UG24AM029
1863,4819318,2586.858829844337,0,438,44,104,PES2UG24CS454
1700,5185650,3050.3823529411766,0,613,67,24,PES2UG24AM212
1656,4226098,2551.99154589372,0,332,81,34,PES2UG24AM116
2620,4792273,1829.1118320610688,0,480,128,22,PES2UG24CS201
1285,5225952,4066.8887159533074,0,389,70,7,PES2UG24EC100
